event_id,category,t_hours,detection_ms,recovery_s,service_affecting,operator_intervention
1,tracking_loss,0.7866,93.4,3.03,yes,no
2,tracking_loss,3.5890,88.8,2.90,yes,no
3,tracking_loss,4.8779,66.2,3.78,yes,no
4,tracking_loss,8.7495,118.1,3.37,yes,no
5,tracking_loss,9.5969,56.8,3.09,yes,no
6,tracking_loss,13.1336,70.1,1.89,yes,no
7,tracking_loss,14.5102,54.8,2.09,yes,no
8,tracking_loss,14.9749,83.2,3.38,yes,no
9,tracking_loss,20.8108,188.9,3.06,yes,no
10,tracking_loss,21.3605,86.9,3.69,yes,no
11,tracking_loss,24.5419,73.0,5.11,yes,no
12,tracking_loss,25.6270,73.4,3.64,yes,no
13,tracking_loss,29.0289,54.0,3.14,yes,no
14,tracking_loss,31.8257,117.1,3.19,yes,no
15,tracking_loss,33.7514,105.9,3.47,yes,no
16,tracking_loss,41.4518,128.1,1.16,yes,no
17,tracking_loss,43.7878,83.1,3.29,yes,no
18,tracking_loss,46.9561,64.2,3.08,yes,no
19,tracking_loss,50.6261,94.7,3.33,yes,no
20,tracking_loss,60.6605,75.8,2.48,yes,no
21,tracking_loss,68.7327,94.0,3.48,yes,no
22,tracking_loss,71.8273,154.4,2.51,yes,no
23,tracking_loss,74.4849,44.9,1.85,yes,no
24,tracking_loss,79.2528,132.8,2.25,yes,no
25,tracking_loss,83.4884,83.8,2.48,yes,no
26,tracking_loss,89.0268,46.5,2.70,yes,no
27,tracking_loss,91.0890,72.0,4.36,yes,no
28,tracking_loss,96.9402,60.0,3.93,yes,no
29,tracking_loss,97.2602,54.2,2.93,yes,no
30,tracking_loss,99.4308,58.9,2.67,yes,no
31,tracking_loss,101.2178,47.3,4.86,yes,no
32,tracking_loss,102.9813,60.2,4.83,yes,no
33,tracking_loss,106.6535,54.4,2.31,yes,no
34,tracking_loss,110.0826,99.2,1.61,yes,no
35,tracking_loss,112.9166,39.2,2.30,yes,no
36,tracking_loss,113.4580,58.2,3.78,yes,no
37,tracking_loss,117.2129,57.5,3.80,yes,no
38,tracking_loss,119.3044,61.7,3.05,yes,no
39,tracking_loss,122.8354,52.1,2.29,yes,no
40,tracking_loss,130.8295,62.5,2.07,yes,no
41,tracking_loss,132.0927,81.2,2.57,yes,no
42,tracking_loss,135.5606,49.7,2.23,yes,no
43,tracking_loss,136.6621,67.9,2.31,yes,no
44,tracking_loss,138.4871,144.6,1.90,yes,no
