index,interval_h,population
1,1.528297,service_affecting
2,0.896326,service_affecting
3,3.828332,service_affecting
4,1.487099,service_affecting
5,1.008170,service_affecting
6,0.208355,service_affecting
7,0.129878,service_affecting
8,2.660541,service_affecting
9,0.622068,service_affecting
10,3.143221,service_affecting
11,0.925496,service_affecting
12,2.016663,service_affecting
13,1.796184,service_affecting
14,0.431555,service_affecting
15,1.202080,service_affecting
16,1.237100,service_affecting
17,0.188953,service_affecting
18,1.026227,service_affecting
19,0.450256,service_affecting
20,2.256117,service_affecting
21,0.729436,service_affecting
22,0.267800,service_affecting
23,1.382849,service_affecting
24,0.515141,service_affecting
25,0.378064,service_affecting
26,0.467971,service_affecting
27,0.103755,service_affecting
28,0.770268,service_affecting
29,0.955404,service_affecting
30,1.197492,service_affecting
31,0.468824,service_affecting
32,0.449387,service_affecting
33,3.225361,service_affecting
34,1.598474,service_affecting
35,0.097151,service_affecting
36,0.755059,service_affecting
37,0.621567,service_affecting
38,1.820104,service_affecting
39,1.027743,service_affecting
40,2.084805,service_affecting
41,0.569373,service_affecting
42,0.487280,service_affecting
43,2.489196,service_affecting
44,0.435200,service_affecting
45,2.002903,service_affecting
46,0.659661,service_affecting
47,0.073166,service_affecting
48,1.477906,service_affecting
49,3.690018,service_affecting
50,0.002980,service_affecting
51,3.053533,service_affecting
52,1.865859,service_affecting
53,0.145222,service_affecting
54,0.139332,service_affecting
55,2.663909,service_affecting
56,1.149350,service_affecting
57,3.719311,service_affecting
58,0.024264,service_affecting
59,0.199326,service_affecting
60,0.696219,service_affecting
61,0.202051,service_affecting
62,0.513057,service_affecting
63,6.401957,service_affecting
64,1.084437,service_affecting
65,0.164689,service_affecting
66,0.933409,service_affecting
67,1.287309,service_affecting
68,0.567371,service_affecting
69,0.593852,service_affecting
70,1.593727,service_affecting
71,0.491467,service_affecting
72,1.348462,service_affecting
73,1.072683,service_affecting
74,2.058212,service_affecting
75,0.424659,service_affecting
76,0.500854,service_affecting
77,0.645605,service_affecting
78,1.038651,service_affecting
79,1.286516,service_affecting
80,0.072582,service_affecting
81,2.194052,service_affecting
82,1.369111,service_affecting
83,1.289612,service_affecting
84,0.875441,service_affecting
85,0.517238,service_affecting
86,0.066922,service_affecting
87,1.926551,service_affecting
88,1.309151,service_affecting
89,1.431784,service_affecting
90,1.021583,service_affecting
91,2.706398,service_affecting
92,0.277820,service_affecting
93,0.008053,service_affecting
94,1.876530,service_affecting
95,1.293169,service_affecting
96,2.542326,service_affecting
97,0.722481,service_affecting
98,0.740196,service_affecting
99,0.985894,service_affecting
100,0.384120,service_affecting
101,0.147838,service_affecting
102,3.001606,service_affecting
103,0.367492,service_affecting
104,0.820933,service_affecting
105,1.452926,service_affecting
106,0.068752,service_affecting
107,4.384336,service_affecting
108,1.017310,service_affecting
109,0.797670,service_affecting
110,2.420255,service_affecting
111,0.517450,service_affecting
112,2.628075,service_affecting
113,0.536006,service_affecting
114,0.925876,service_affecting
115,2.051107,service_affecting
116,1.114503,service_affecting
117,2.024498,service_affecting
118,2.537255,service_affecting
119,1.253397,service_affecting
120,0.497177,service_affecting
121,0.867861,service_affecting
122,2.150909,service_affecting
123,0.286236,service_affecting
124,3.105958,service_affecting
125,0.653069,service_affecting
126,1.282883,service_affecting
127,1.981944,service_affecting
128,0.923402,service_affecting
129,3.560869,service_affecting
130,1.133763,service_affecting
131,0.240722,service_affecting
132,1.253391,service_affecting
133,2.956381,service_affecting
134,3.943467,service_affecting
135,0.732611,service_affecting
136,0.156900,service_affecting
137,1.233654,service_affecting
138,1.052909,service_affecting
139,2.350982,service_affecting
140,0.720315,service_affecting
141,10.333596,service_affecting
142,0.276986,service_affecting
143,0.149310,service_affecting
144,0.002531,service_affecting
145,0.276500,service_affecting
146,0.114697,service_affecting
147,0.059465,service_affecting
148,0.657220,service_affecting
149,0.447345,service_affecting
150,0.702845,service_affecting
151,1.112833,service_affecting
152,1.308758,service_affecting
153,2.381550,service_affecting
154,0.062202,service_affecting
155,0.010092,service_affecting
156,0.427141,service_affecting
