platform,toolchain,run,hours,network_min,client_min,mapping_min,logic_min,test_min
siemens,TIA Portal V18 / PLCSIM Advanced V5.0,1,3.4,15,45,90,60,30
siemens,TIA Portal V18 / PLCSIM Advanced V5.0,2,3.6,15,45,90,60,30
siemens,TIA Portal V18 / PLCSIM Advanced V5.0,3,3.7,15,45,90,60,30
siemens,TIA Portal V18 / PLCSIM Advanced V5.0,4,3.8,15,45,90,60,30
siemens,TIA Portal V18 / PLCSIM Advanced V5.0,5,4.0,15,45,90,60,30
rockwell,Studio 5000 / Logix Emulate V33,1,3.2,15,35,75,50,35
rockwell,Studio 5000 / Logix Emulate V33,2,3.4,15,35,75,50,35
rockwell,Studio 5000 / Logix Emulate V33,3,3.6,15,35,75,50,35
rockwell,Studio 5000 / Logix Emulate V33,4,3.8,15,35,75,50,35
mitsubishi,GX Works3 1.095Z / GX Simulator3,1,3.5,15,20,95,70,40
mitsubishi,GX Works3 1.095Z / GX Simulator3,2,3.8,15,20,95,70,40
mitsubishi,GX Works3 1.095Z / GX Simulator3,3,4.1,15,20,95,70,40
